Time	Channel A	Channel B
(ms)	(V)	(V)

-2.49996711	0.51585440	0.40473650
-2.49988712	0.51585440	0.40473650
-2.49980712	0.51585440	0.40473650
-2.49972712	0.51585440	0.40473650
-2.49964712	0.51585440	0.40473650
-2.49956712	0.50791950	0.40473650
-2.49948712	0.51585440	0.40473650
-2.49940712	0.51585440	0.40473650
-2.49932712	0.51585440	0.40473650
-2.49924712	0.51585440	0.41267130
-2.49916712	0.51585440	0.39680170
-2.49908712	0.51585440	0.40473650
-2.49900712	0.51585440	0.40473650
-2.49892712	0.51585440	0.40473650
-2.49884712	0.51585440	0.40473650
-2.49876712	0.51585440	0.40473650
-2.49868712	0.51585440	0.39680170
-2.49860712	0.51585440	0.41267130
-2.49852712	0.51585440	0.40473650
-2.49844712	0.51585440	0.40473650
-2.49836712	0.50791950	0.40473650
-2.49828712	0.51585440	0.40473650
-2.49820712	0.51585440	0.40473650
-2.49812712	0.51585440	0.40473650
-2.49804712	0.51585440	0.40473650
-2.49796712	0.51585440	0.40473650
-2.49788712	0.51585440	0.40473650
-2.49780712	0.51585440	0.40473650
-2.49772712	0.50791950	0.40473650
-2.49764712	0.51585440	0.40473650
-2.49756712	0.51585440	0.40473650
-2.49748712	0.51585440	0.40473650
-2.49740712	0.51585440	0.39680170
-2.49732712	0.51585440	0.40473650
-2.49724712	0.51585440	0.39680170
-2.49716712	0.51585440	0.40473650
-2.49708712	0.51585440	0.39680170
-2.49700712	0.50791950	0.40473650
-2.49692712	0.51585440	0.39680170
-2.49684712	0.51585440	0.39680170
-2.49676712	0.51585440	0.40473650
-2.49668712	0.50791950	0.39680170
-2.49660712	0.51585440	0.40473650
-2.49652712	0.50791950	0.40473650
-2.49644712	0.50791950	0.40473650
-2.49636712	0.50791950	0.39680170
-2.49628712	0.51585440	0.39680170
-2.49620712	0.50791950	0.40473650
-2.49612712	0.51585440	0.40473650
-2.49604712	0.50791950	0.38886680
-2.49596712	0.51585440	0.41267130
-2.49588712	0.50791950	0.39680170
-2.49580712	0.51585440	0.39680170
-2.49572712	0.50791950	0.40473650
-2.49564712	0.51585440	0.39680170
-2.49556712	0.50791950	0.39680170
-2.49548712	0.50791950	0.40473650
-2.49540712	0.50791950	0.39680170
-2.49532712	0.51585440	0.40473650
-2.49524712	0.51585440	0.39680170
-2.49516712	0.50791950	0.40473650
-2.49508712	0.51585440	0.39680170
-2.49500712	0.51585440	0.40473650
-2.49492712	0.50791950	0.39680170
-2.49484712	0.51585440	0.39680170
-2.49476712	0.51585440	0.40473650
-2.49468712	0.50791950	0.39680170
-2.49460712	0.51585440	0.38093200
-2.49452712	0.50791950	0.40473650
-2.49444712	0.50791950	0.38886680
-2.49436712	0.50791950	0.39680170
-2.49428712	0.50791950	0.40473650
-2.49420712	0.51585440	0.39680170
-2.49412712	0.50791950	0.39680170
-2.49404712	0.50791950	0.40473650
-2.49396712	0.51585440	0.39680170
-2.49388712	0.51585440	0.40473650
-2.49380712	0.50791950	0.39680170
-2.49372712	0.51585440	0.39680170
-2.49364712	0.50791950	0.40473650
-2.49356712	0.51585440	0.39680170
-2.49348712	0.50791950	0.39680170
-2.49340712	0.51585440	0.39680170
-2.49332712	0.50791950	0.39680170
-2.49324712	0.51585440	0.39680170
-2.49316712	0.50791950	0.39680170
-2.49308712	0.51585440	0.39680170
-2.49300712	0.50791950	0.38886680
-2.49292712	0.50791950	0.43650620
-2.49284712	0.51585440	0.36506240
-2.49276712	0.52378920	0.34919280
-2.49268712	0.50791950	0.44444110
-2.49260712	0.51585440	0.35712760
-2.49252712	0.50791950	0.40473650
-2.49244712	0.50791950	0.40473650
-2.49236712	0.51585440	0.38093200
-2.49228712	0.50791950	0.39680170
-2.49220712	0.50791950	0.39680170
-2.49212712	0.50791950	0.39680170
-2.49204712	0.50791950	0.38886680
-2.49196712	0.50791950	0.39680170
-2.49188712	0.50791950	0.39680170
-2.49180712	0.50791950	0.38886680
-2.49172712	0.51585440	0.38886680
-2.49164712	0.50791950	0.39680170
-2.49156712	0.50791950	0.38886680
-2.49148712	0.50791950	0.40473650
-2.49140712	0.51585440	0.38886680
-2.49132712	0.50791950	0.39680170
-2.49124712	0.50791950	0.39680170
-2.49116712	0.50791950	0.39680170
-2.49108712	0.50791950	0.39680170
-2.49100712	0.50791950	0.39680170
-2.49092712	0.50791950	0.39680170
-2.49084712	0.50791950	0.39680170
-2.49076712	0.50791950	0.39680170
-2.49068712	0.50791950	0.38886680
-2.49060712	0.50791950	0.39680170
-2.49052712	0.50791950	0.38886680
-2.49044712	0.50791950	0.39680170
