Time	Channel A	Channel B
(ms)	(V)	(V)

-24.99872632	-0.50791950	-0.36506240
-24.99808632	-0.50791950	-0.36506240
-24.99744632	-0.50791950	-0.36506240
-24.99680632	-0.50791950	-0.36506240
-24.99616632	-0.50791950	-0.36506240
-24.99552632	-0.50791950	-0.36506240
-24.99488632	-0.50791950	-0.37299720
-24.99424632	-0.50791950	-0.37299720
-24.99360632	-0.50791950	-0.37299720
-24.99296632	-0.50791950	-0.37299720
-24.99232632	-0.50791950	-0.37299720
-24.99168632	-0.50791950	-0.37299720
-24.99104632	-0.50791950	-0.37299720
-24.99040632	-0.50791950	-0.37299720
-24.98976632	-0.50791950	-0.37299720
-24.98912632	-0.50791950	-0.37299720
-24.98848632	-0.50791950	-0.37299720
-24.98784632	-0.50791950	-0.37299720
-24.98720632	-0.50791950	-0.37299720
-24.98656632	-0.50791950	-0.37299720
-24.98592632	-0.50791950	-0.37299720
-24.98528632	-0.50791950	-0.37299720
-24.98464632	-0.50791950	-0.37299720
-24.98400632	-0.50791950	-0.37299720
-24.98336632	-0.51585440	-0.37299720
-24.98272632	-0.50791950	-0.37299720
-24.98208632	-0.50791950	-0.37299720
-24.98144632	-0.50791950	-0.37299720
-24.98080632	-0.50791950	-0.37299720
-24.98016632	-0.50791950	-0.37299720
-24.97952632	-0.50791950	-0.37299720
-24.97888632	-0.50791950	-0.37299720
-24.97824632	-0.50791950	-0.37299720
-24.97760632	-0.50791950	-0.37299720
-24.97696632	-0.50791950	-0.37299720
-24.97632632	-0.51585440	-0.37299720
-24.97568632	-0.50791950	-0.37299720
-24.97504632	-0.50791950	-0.37299720
-24.97440632	-0.50791950	-0.37299720
-24.97376632	-0.50791950	-0.37299720
-24.97312632	-0.50791950	-0.38093200
-24.97248632	-0.50791950	-0.38093200
-24.97184632	-0.50791950	-0.37299720
-24.97120632	-0.50791950	-0.37299720
-24.97056632	-0.50791950	-0.37299720
-24.96992632	-0.50791950	-0.37299720
-24.96928632	-0.50791950	-0.38093200
-24.96864632	-0.51585440	-0.37299720
-24.96800632	-0.50791950	-0.38093200
-24.96736632	-0.50791950	-0.37299720
-24.96672632	-0.51585440	-0.37299720
-24.96608632	-0.51585440	-0.38093200
-24.96544632	-0.50791950	-0.38093200
-24.96480632	-0.50791950	-0.38093200
-24.96416632	-0.50791950	-0.38093200
-24.96352632	-0.50791950	-0.38093200
-24.96288632	-0.50791950	-0.38093200
-24.96224632	-0.51585440	-0.38093200
-24.96160632	-0.50791950	-0.38093200
-24.96096632	-0.51585440	-0.38093200
-24.96032632	-0.51585440	-0.38093200
-24.95968632	-0.50791950	-0.38093200
-24.95904632	-0.50791950	-0.38093200
-24.95840632	-0.51585440	-0.38093200
-24.95776632	-0.50791950	-0.38093200
-24.95712632	-0.50791950	-0.38093200
-24.95648632	-0.51585440	-0.38093200
-24.95584632	-0.51585440	-0.38093200
-24.95520632	-0.51585440	-0.38093200
-24.95456632	-0.51585440	-0.38093200
-24.95392632	-0.51585440	-0.38093200
-24.95328632	-0.51585440	-0.38093200
-24.95264632	-0.51585440	-0.38093200
-24.95200632	-0.50791950	-0.38093200
-24.95136632	-0.51585440	-0.38093200
-24.95072632	-0.51585440	-0.38093200
-24.95008632	-0.51585440	-0.38093200
-24.94944632	-0.51585440	-0.38093200
-24.94880632	-0.51585440	-0.38093200
-24.94816632	-0.51585440	-0.38093200
-24.94752632	-0.51585440	-0.38093200
-24.94688632	-0.50791950	-0.38093200
-24.94624632	-0.51585440	-0.38093200
-24.94560632	-0.51585440	-0.38093200
-24.94496632	-0.51585440	-0.38093200
-24.94432632	-0.51585440	-0.38886680
-24.94368632	-0.51585440	-0.38886680
-24.94304632	-0.51585440	-0.38886680
-24.94240632	-0.51585440	-0.38093200
-24.94176632	-0.51585440	-0.38886680
-24.94112632	-0.51585440	-0.38093200
-24.94048632	-0.51585440	-0.38093200
-24.93984632	-0.51585440	-0.38093200
-24.93920632	-0.51585440	-0.38093200
-24.93856632	-0.51585440	-0.38093200
-24.93792632	-0.51585440	-0.38886680
-24.93728632	-0.51585440	-0.38886680
-24.93664632	-0.51585440	-0.38093200
-24.93600632	-0.51585440	-0.38886680
-24.93536632	-0.51585440	-0.38886680
-24.93472632	-0.51585440	-0.38093200
-24.93408632	-0.51585440	-0.38886680
-24.93344632	-0.51585440	-0.38886680
-24.93280632	-0.51585440	-0.38886680
-24.93216632	-0.51585440	-0.38886680
-24.93152632	-0.51585440	-0.38886680
-24.93088632	-0.51585440	-0.38886680
-24.93024632	-0.51585440	-0.38886680
