Time	Channel A	Channel B
(ms)	(V)	(V)

-4.99996589	3.88882100	2.30140100
-4.99980589	3.84914700	2.22205300
-4.99964589	3.88882100	2.22205300
-4.99948589	3.88882100	2.14270400
-4.99932589	3.88882100	2.30140100
-4.99916589	3.88882100	2.30140100
-4.99900589	3.84914700	2.30140100
-4.99884589	3.84914700	2.30140100
-4.99868589	3.88882100	2.30140100
-4.99852589	3.88882100	2.22205300
-4.99836589	3.84914700	2.30140100
-4.99820589	3.88882100	2.30140100
-4.99804589	3.88882100	2.22205300
-4.99788589	3.88882100	2.30140100
-4.99772589	3.88882100	2.30140100
-4.99756589	3.88882100	2.30140100
-4.99740589	3.88882100	2.22205300
-4.99724589	3.88882100	2.30140100
-4.99708589	3.88882100	2.22205300
-4.99692589	3.88882100	2.22205300
-4.99676589	3.88882100	2.30140100
-4.99660589	3.84914700	2.22205300
-4.99644589	3.88882100	2.30140100
-4.99628589	3.88882100	2.30140100
-4.99612589	3.84914700	2.30140100
-4.99596589	3.88882100	2.30140100
-4.99580589	3.88882100	2.30140100
-4.99564589	3.88882100	2.30140100
-4.99548589	3.88882100	2.30140100
-4.99532589	3.88882100	2.30140100
-4.99516589	3.88882100	2.22205300
-4.99500589	3.88882100	2.30140100
-4.99484589	3.88882100	2.30140100
-4.99468589	3.84914700	2.22205300
-4.99452590	3.88882100	2.30140100
-4.99436590	3.88882100	2.30140100
-4.99420590	3.88882100	2.30140100
-4.99404590	3.88882100	2.22205300
-4.99388590	3.88882100	2.30140100
-4.99372590	3.88882100	2.30140100
-4.99356590	3.84914700	2.30140100
-4.99340590	3.88882100	2.30140100
-4.99324590	3.84914700	2.30140100
-4.99308590	3.88882100	2.30140100
-4.99292590	3.88882100	2.30140100
-4.99276590	3.88882100	2.30140100
-4.99260590	3.88882100	2.30140100
-4.99244590	3.88882100	2.30140100
-4.99228590	3.88882100	2.30140100
-4.99212590	3.88882100	2.30140100
-4.99196590	3.88882100	2.30140100
-4.99180590	3.88882100	2.30140100
-4.99164590	3.84914700	2.30140100
-4.99148590	3.88882100	2.30140100
-4.99132590	3.88882100	2.30140100
-4.99116590	3.88882100	2.30140100
-4.99100590	3.88882100	2.30140100
-4.99084590	3.84914700	2.30140100
-4.99068590	3.88882100	2.30140100
-4.99052590	3.88882100	2.30140100
-4.99036590	3.88882100	2.30140100
-4.99020590	3.88882100	2.30140100
-4.99004590	3.84914700	2.30140100
-4.98988590	3.88882100	2.30140100
-4.98972590	3.88882100	2.30140100
-4.98956590	3.88882100	2.30140100
-4.98940590	3.88882100	2.30140100
-4.98924590	3.88882100	2.30140100
-4.98908590	3.88882100	2.30140100
-4.98892590	3.88882100	2.30140100
-4.98876590	3.88882100	2.30140100
-4.98860590	3.88882100	2.30140100
-4.98844590	3.88882100	2.30140100
-4.98828590	3.84914700	2.30140100
-4.98812590	3.88882100	2.30140100
-4.98796590	3.88882100	2.30140100
-4.98780590	3.88882100	2.30140100
-4.98764590	3.88882100	2.30140100
-4.98748590	3.88882100	2.30140100
-4.98732590	3.88882100	2.30140100
-4.98716590	3.88882100	2.30140100
-4.98700590	3.88882100	2.30140100
-4.98684590	3.88882100	2.30140100
-4.98668590	3.88882100	2.30140100
-4.98652590	3.88882100	2.30140100
-4.98636590	3.88882100	2.30140100
-4.98620590	3.84914700	2.30140100
-4.98604590	3.84914700	2.30140100
-4.98588590	3.88882100	2.30140100
-4.98572590	3.88882100	2.30140100
-4.98556590	3.88882100	2.30140100
-4.98540590	3.88882100	2.30140100
-4.98524590	3.88882100	2.30140100
-4.98508590	3.88882100	2.30140100
-4.98492590	3.88882100	2.30140100
-4.98476590	3.88882100	2.30140100
-4.98460590	3.88882100	2.22205300
-4.98444590	3.88882100	2.30140100
-4.98428590	3.88882100	2.30140100
-4.98412590	3.88882100	2.30140100
-4.98396590	3.88882100	2.30140100
-4.98380590	3.88882100	2.30140100
-4.98364590	3.84914700	2.30140100
-4.98348590	3.88882100	2.30140100
-4.98332590	3.88882100	2.30140100
-4.98316590	3.88882100	2.30140100
-4.98300590	3.88882100	2.30140100
-4.98284590	3.88882100	2.30140100
-4.98268590	3.88882100	2.30140100
-4.98252590	3.88882100	2.30140100
-4.98236590	3.88882100	2.30140100
-4.98220590	3.88882100	2.30140100
-4.98204590	3.88882100	2.30140100
-4.98188590	3.88882100	2.30140100
-4.98172590	3.88882100	2.30140100
-4.98156590	3.88882100	2.30140100
-4.98140590	3.84914700	2.30140100
-4.98124590	3.88882100	2.30140100
-4.98108590	3.88882100	2.30140100
-4.98092590	3.88882100	2.30140100
