Time	Channel A	Channel B
(ms)	(V)	(V)

-4.99980478	3.88882100	1.50792000
-4.99964478	3.88882100	1.42857100
-4.99948478	3.88882100	1.42857100
-4.99932478	3.88882100	1.50792000
-4.99916478	3.88882100	1.42857100
-4.99900478	3.88882100	1.50792000
-4.99884478	3.88882100	1.42857100
-4.99868478	3.88882100	1.42857100
-4.99852478	3.88882100	1.42857100
-4.99836478	3.88882100	1.42857100
-4.99820478	3.88882100	1.42857100
-4.99804478	3.88882100	1.42857100
-4.99788478	3.88882100	1.42857100
-4.99772478	3.88882100	1.42857100
-4.99756478	3.88882100	1.50792000
-4.99740478	3.88882100	1.42857100
-4.99724478	3.88882100	1.42857100
-4.99708478	3.88882100	1.42857100
-4.99692478	3.88882100	1.42857100
-4.99676478	3.88882100	1.42857100
-4.99660478	3.88882100	1.42857100
-4.99644478	3.88882100	1.42857100
-4.99628478	3.88882100	1.42857100
-4.99612478	3.88882100	1.42857100
-4.99596478	3.92849500	1.42857100
-4.99580478	3.88882100	1.42857100
-4.99564478	3.88882100	1.42857100
-4.99548478	3.88882100	1.42857100
-4.99532478	3.88882100	1.42857100
-4.99516478	3.88882100	1.42857100
-4.99500478	3.88882100	1.42857100
-4.99484478	3.88882100	1.42857100
-4.99468478	3.88882100	1.42857100
-4.99452478	3.88882100	1.42857100
-4.99436478	3.88882100	1.42857100
-4.99420478	3.84914700	1.42857100
-4.99404478	3.88882100	1.42857100
-4.99388478	3.84914700	1.50792000
-4.99372478	3.88882100	1.42857100
-4.99356478	3.84914700	1.42857100
-4.99340478	3.88882100	1.42857100
-4.99324478	3.88882100	1.42857100
-4.99308478	3.88882100	1.42857100
-4.99292478	3.88882100	1.42857100
-4.99276478	3.88882100	1.42857100
-4.99260478	3.88882100	1.42857100
-4.99244478	3.88882100	1.42857100
-4.99228478	3.88882100	1.42857100
-4.99212478	3.88882100	1.42857100
-4.99196478	3.88882100	1.42857100
-4.99180478	3.88882100	1.42857100
-4.99164478	3.84914700	1.42857100
-4.99148478	3.88882100	1.42857100
-4.99132478	3.88882100	1.42857100
-4.99116478	3.88882100	1.42857100
-4.99100478	3.88882100	1.42857100
-4.99084478	3.88882100	1.42857100
-4.99068478	3.84914700	1.42857100
-4.99052478	3.88882100	1.42857100
-4.99036478	3.88882100	1.42857100
-4.99020478	3.88882100	1.42857100
-4.99004478	3.88882100	1.42857100
-4.98988478	3.88882100	1.42857100
-4.98972478	3.88882100	1.42857100
-4.98956478	3.88882100	1.42857100
-4.98940478	3.88882100	1.42857100
-4.98924478	3.92849500	1.42857100
-4.98908478	3.88882100	1.42857100
-4.98892478	3.88882100	1.42857100
-4.98876478	3.88882100	1.42857100
-4.98860478	3.88882100	1.42857100
-4.98844478	3.88882100	1.42857100
-4.98828478	3.88882100	1.42857100
-4.98812478	3.88882100	1.42857100
-4.98796478	3.88882100	1.42857100
-4.98780478	3.84914700	1.42857100
-4.98764478	3.88882100	1.42857100
-4.98748478	3.88882100	1.42857100
-4.98732478	3.88882100	1.42857100
-4.98716478	3.88882100	1.42857100
-4.98700478	3.88882100	1.42857100
-4.98684478	3.88882100	1.42857100
-4.98668478	3.88882100	1.42857100
-4.98652478	3.88882100	1.42857100
-4.98636478	3.88882100	1.42857100
-4.98620478	3.88882100	1.42857100
-4.98604478	3.88882100	1.42857100
-4.98588478	3.88882100	1.42857100
-4.98572478	3.88882100	1.42857100
-4.98556478	3.88882100	1.42857100
-4.98540478	3.88882100	1.42857100
-4.98524478	3.88882100	1.42857100
-4.98508478	3.88882100	1.42857100
-4.98492478	3.88882100	1.42857100
-4.98476478	3.88882100	1.42857100
-4.98460478	3.88882100	1.42857100
-4.98444478	3.88882100	1.42857100
-4.98428478	3.88882100	1.42857100
-4.98412478	3.88882100	1.34891800
-4.98396478	3.88882100	1.42857100
-4.98380478	3.88882100	1.42857100
-4.98364478	3.88882100	1.42857100
-4.98348478	3.88882100	1.42857100
-4.98332478	3.88882100	1.42857100
-4.98316478	3.88882100	1.42857100
-4.98300478	3.88882100	1.42857100
-4.98284478	3.88882100	1.42857100
-4.98268478	3.88882100	1.42857100
-4.98252478	3.88882100	1.42857100
-4.98236478	3.88882100	1.42857100
-4.98220478	3.88882100	1.42857100
-4.98204478	3.84914700	1.42857100
-4.98188478	3.88882100	1.42857100
-4.98172478	3.88882100	1.42857100
-4.98156478	3.88882100	1.42857100
-4.98140478	3.88882100	1.42857100
-4.98124478	3.88882100	1.42857100
-4.98108478	3.88882100	1.42857100
-4.98092478	3.88882100	1.42857100
-4.98076478	3.88882100	1.42857100
